time_sec,own_lat,own_lon,own_alt_m,own_roll_deg,own_pitch_deg,own_yaw_deg,own_health,target_lat,target_lon,target_alt_m,target_roll_deg,target_pitch_deg,target_yaw_deg,target_health,derived_own_speed_ms,derived_target_speed_ms,derived_distance_m,derived_own_ata_deg,derived_target_ata_deg,derived_target_aa_deg,derived_own_in_wez,derived_target_in_wez,derived_own_specific_energy,derived_target_specific_energy,derived_ata_sign_degenerate
0.5,37.931985,128.181865,6972.1838712,-33.366,-4.834,0.828,1.0,37.96028,128.181879,6981.342806400001,0.065,-2.591,180.008,1.0,1817.358286627094,1741.532163184618,3149.7985480406305,5.0649385379711145,-2.424438501594373,-177.57556149840565,False,False,1719769.337946587,1584930.72313563,False
0.5166,37.932257,128.181863,6970.026801600001,-34.621,-4.956,0.867,1.0,37.960019,128.181879,6980.0010768,0.069,-2.677,180.008,1.0,1828.6835554018305,1752.1295835737847,3090.4681184625115,5.209082676766584,-2.49214675704262,-177.5078532429574,False,False,1740394.3862324506,1603429.4663770227,False
0.5333,37.932529,128.181862,6967.784083200001,-35.887,-5.078,0.905,1.0,37.959758,128.181879,6978.6175896,0.072,-2.764,180.009,1.0,1818.0821823492472,1741.7549286197695,3031.1381423355247,5.354864348421006,-2.559292408105757,-177.44070759189427,False,False,1721042.030667414,1585291.97587068,False
0.55,37.932801,128.181861,6965.4560208,-37.163,-5.198,0.944,1.0,37.959498,128.181879,6977.19204,0.076,-2.85,180.009,1.0,1818.4668103873926,1735.2187454232385,2971.9200387133756,5.500448215617878,-2.623827960735623,-177.3761720392644,False,False,1721718.559526627,1573914.9275531648,False
0.5666,37.933073,128.18186,6963.0413952,-38.451,-5.317,0.982,1.0,37.959238,128.181879,6975.724123200001,0.08,-2.937,180.009,1.0,1829.8285751337455,1745.7992863222962,2912.7025666739787,5.646609672489183,-2.6876226943963952,-177.31237730560363,False,False,1742420.4170862345,1592316.0590344986,False
0.5833,37.933346,128.181858,6960.540511200001,-39.749,-5.436,1.02,1.0,37.958978,128.181879,6974.2144488,0.083,-3.024,180.01,1.0,1825.9553798518932,1735.4738487975335,2853.3745481983897,5.794318164945497,-2.749558912040824,-177.2504410879592,False,False,1735316.1092091952,1574328.4200543866,False
0.6,37.933618,128.181857,6957.952149600001,-41.059,-5.553,1.057,1.0,37.958718,128.181879,6972.6621024,0.087,-3.112,180.01,1.0,1819.7280663127906,1735.6088238084326,2794.1586075759005,5.942118551930585,-2.81051868484204,-177.18948131515796,False,False,1723939.3191111188,1574547.4514473462,False
0.6166,37.933891,128.181856,6955.2763104000005,-42.38,-5.669,1.094,1.0,37.958458,128.181879,6971.0673888,0.091,-3.2,180.011,1.0,1837.826676986006,1746.2028500822844,2734.832265772171,6.091026334971058,-2.869339716906472,-177.13066028309353,False,False,1757011.4077500969,1592975.014826122,False
0.6333,37.934164,128.181854,6952.5126887999995,-43.713,-5.784,1.131,1.0,37.958199,128.181879,6969.430308,0.095,-3.288,180.011,1.0,1827.3129587849387,1729.2328048073052,2675.618346426388,6.240832527069214,-2.9259444699486767,-177.07405553005134,False,False,1737717.1832313042,1563469.810340818,False
0.65,37.934437,128.181853,6949.660370400001,-45.058,-5.899,1.167,1.0,37.95794,128.181879,6967.7502504,0.099,-3.377,180.011,1.0,1827.7789231474767,1729.3806008154816,2616.4055259174775,6.393155426676861,-2.981107441831528,-177.01889255816846,False,False,1738540.7828224578,1563708.919231543,False
