time_sec,own_lat,own_lon,own_alt_m,own_roll_deg,own_pitch_deg,own_yaw_deg,own_health,target_lat,target_lon,target_alt_m,target_roll_deg,target_pitch_deg,target_yaw_deg,target_health,derived_own_speed_ms,derived_target_speed_ms,derived_distance_m,derived_own_ata_deg,derived_target_ata_deg,derived_target_aa_deg,derived_own_in_wez,derived_target_in_wez,derived_own_specific_energy,derived_target_specific_energy,derived_ata_sign_degenerate
0.3333,37.929174,128.181917,6997.464592800001,174.637,4.148,6.348,1.0,37.962903,128.18188,6992.4811128,0.034,-1.751,180.004,1.0,1740.9349821975006,1760.5852277093904,3754.6998179080742,7.6616768333936,-1.8278319094008308,-178.17216809059917,False,False,1584048.992268488,1618402.9869191032,False
0.35,37.929435,128.181924,6996.5876832,168.888,4.787,5.796,1.0,37.96264,128.18188,6991.5520824000005,0.037,-1.834,180.005,1.0,1740.9649670159752,1753.9977576748854,3696.3691411491914,7.607995836615814,-1.9131550574096627,-178.08684494259035,False,False,1584092.594791921,1606817.771193131,False
0.3666,37.929696,128.181932,6995.7080304,163.72,5.349,5.188,1.0,37.962376,128.18188,6990.5822088,0.039,-1.916,180.005,1.0,1751.5775008213395,1771.3460896978006,3637.927435952453,7.554429376228546,-1.998209859124048,-178.00179014087595,False,False,1602616.330848087,1637387.6777617729,False
0.3833,37.929956,128.181939,6994.8372168,159.09,5.835,4.54,1.0,37.962113,128.18188,6989.571492000001,0.042,-1.999,180.005,1.0,1734.2926504727004,1754.1597083897275,3579.7084875253486,7.5057582331090344,-2.085135557138117,-177.91486444286187,False,False,1572481.4191339437,1607082.4225409888,False
0.4,37.930216,128.181947,6993.9871296,154.95,6.25,3.868,1.0,37.961851,128.18188,6988.5196272,0.045,-2.083,180.006,1.0,1734.3753212512831,1747.5849245924744,3521.6012501561772,7.4720768304087155,-2.1743349820200577,-177.82566501797996,False,False,1572616.4613672376,1595560.5003335231,False
0.4166,37.930476,128.181955,6993.1675224,151.243,6.602,3.183,1.0,37.961588,128.18188,6987.4269192,0.049,-2.167,180.006,1.0,1744.7704366755586,1764.90425191912,3463.383016940531,7.459155688723593,-2.2648862722092025,-177.7351137277908,False,False,1590691.4846320536,1625966.759418267,False
0.4333,37.930735,128.181963,6992.3863200000005,147.912,6.898,2.494,1.0,37.961326,128.18188,6986.293063200001,0.052,-2.251,180.006,1.0,1727.5977183048574,1747.768763680867,3405.3877937122616,7.471370547356646,-2.3570299540624107,-177.6429700459376,False,False,1560868.8234511027,1595859.9565175036,False
0.45,37.930994,128.18197,6991.651142400001,144.898,7.145,1.806,1.0,37.961064,128.18188,6985.1177544,0.055,-2.335,180.007,1.0,1727.4052699840413,1747.8669497084622,3347.392793510835,7.51071598411492,-2.450959722109515,-177.5490402778905,False,False,1560529.1590599364,1596020.0419677687,False
0.4666,37.931252,128.181977,6990.967476,142.144,7.351,1.124,1.0,37.960803,128.18188,6983.9009928000005,0.058,-2.42,180.007,1.0,1731.0324365283354,1751.7984438074216,3289.6208897350784,7.581027857220523,-2.5478162021939337,-177.45218379780607,False,False,1566794.6193551284,1602887.566534094,False
0.4833,37.93151,128.181983,6990.339283200001,139.595,7.522,0.447,1.0,37.960541,128.18188,6982.642778400001,0.062,-2.506,180.008,1.0,1720.4867109814022,1748.073879176859,3231.7379586039124,7.682361881709469,-2.6478065091957927,-177.3521934908042,False,False,1548589.0720633948,1596357.4773330123,False
